file_path,language,text,label,generator,source,compression_level
data/fake/tamil\fake_tam_0001.wav,Tamil,நேற்று நிகழ்ந்தனவற்றை ஆராய்ந்து அறிந்து கொண்டால்தான் எதிர்காலத்திற்குத் திட்டமிட முடியும்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0002.wav,Tamil,வாகனங்கள் ஒட்டுவதையும் நிறுத்தி வைக்கவும்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0003.wav,Tamil,அவை மூல நூலினின்று எந்த வகையிலும் மாற்றம் பெறாத வகையில் அடியொற்றி எழுதப்பட்டன.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0004.wav,Tamil,சேட் ஒரு சில நாட்களில் செயல்படுத்தப்பட வேண்டும் என்று ஃபோர்னியரைப் பற்றி உணரக்கூடியது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0005.wav,Tamil,"இந்த விதிகளின்படி மாறியே தீர வேண்டும் என்ற அவசியம் இருந்தால், இவைகளைத் தெரிந்துகொண்டாலும், தெரிந்துகொள்ளாவிட்டாலும் ஒன்றுதான்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0006.wav,Tamil,அதுதான் கோயில் என்பர்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0007.wav,Tamil,தான்பிரீன் வாய் திறக்கவேயில்லை.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0008.wav,Tamil,அவர்கள் விடுமுறையில் படுமியில் சந்தித்தனர்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0009.wav,Tamil,வரதநஞ்சைய பிள்ளையவர்கள் பேச வந்தார்கள்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0010.wav,Tamil,அவனுடைய வலியை முழுதும் மண்ணின் சம்பந்தத்திலேயே இருந்தது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0011.wav,Tamil,கம்பெனி பூவிருந்தவல்லியில் இருந்த பொழுது இவரும் விலகிக் கொண்டார்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0012.wav,Tamil,இவற்றிற்குத் தனி நிலைப்புத் திறன் உண்டு.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0013.wav,Tamil,இன்னும் சோழர் படை எல்லாம் திரட்டி இங்கேயே நான்கு பிரிவாக வைத்திருக்கிறார்கள்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0014.wav,Tamil,இப்படியும் கூடத்தான் திருமுறை கூறுகிறது என்று உமார் கூறினான்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0015.wav,Tamil,யாஸ்மியின் அந்த அழகிய கண்கள்தான் அருகில் இருந்தன.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0016.wav,Tamil,ஆனால் பொறுத்தாற்றும் பண்பு தீமைக்கு ஒரு முற்றுப்புள்ளி வைத்துவிடும்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0017.wav,Tamil,அந்தச் சிரிப்பு எத்தகைய ஆண்மையையும் பிடிவாதம் உள்ளவனையும் மயக்கிவிட முடிந்ததாக இருந்தது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0018.wav,Tamil,அவர்களுடைய தாய் தந்தையர்களின் பண்பாட்டினால் மறு படியும் நல்லவர்களாகவே மாறிவிடுவதும் உண்டு.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0019.wav,Tamil,"ஆறினால் அச்சிலே வார் ஆறாவிட்டால் மிடாவிலே வார், ஆறு அல்ல, நூறு அல்ல, ஆகிறது ஆகட்டும்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0020.wav,Tamil,நானும் சரி என்று என் மனைவியுடன் பேசப்போனேன்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0021.wav,Tamil,மயிற் பீலியினால் இயற்றப்பட்ட பெரிய ஆலவட்டம் அவள் கையிலிருந்தது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0022.wav,Tamil,ஆனால் இது வெகு சாதாரணமான மனிதர் செயல்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0023.wav,Tamil,இலாவாரண மலைச்சாரலில் பொழுது இன்பமாகக் கழிந்து கொண்டிருந்தது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0024.wav,Tamil,இந்தக் குகைகள் ஒரு மலையடிவாரத்தில் அமைந்துள்ள படியால் அது ஒரு சிறந்த காட்சிக்கோணத்தை வழங்குகிறது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0025.wav,Tamil,"திரும்பி வந்ததும், அங்கு சான்ஸ் கிடைக்கலாம் என்று அறிவித்தான்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0026.wav,Tamil,குறட்பாப் படிப்பலர் அதன் செய்திகளை அறிவதில்லை ஒரு சில குறட்பாக்களை ஒப்புவிக்கின்றனர்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0027.wav,Tamil,"அருணகிரியையும், வள்ளியையும் கோயிலுக்குக் போவதும், கடைக்குச் சாமான்கள் வாங்க துணையாகப் போவதும் குமரேசன்தான்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0028.wav,Tamil,ஒரு மனிதன் இரண்டு தனித்தனி கணினித் திரைகளைப் பார்த்துக்கொண்டவாறு மேசை மீது கால்களைப் பரப்பிக் கொண்டு பின்னால் சாய்ந்துள்ளான்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0029.wav,Tamil,ஆண் ஆதலின் காதலன் கல கல என உரக்கச் சிரித்தான்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
